date,numer_sta,pmer,tend,cod_tend,dd,ff,t,td,u,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,pres,niv_bar,geop,tend24,tn12,tn24,tx12,tx24,tminsol,sw,tw,raf10,rafper,per,etat_sol,ht_neige,ssfrai,perssfrai,rr1,rr3,rr6,rr12,rr24,phenspe1,phenspe2,phenspe3,phenspe4,nnuage1,ctype1,hnuage1,nnuage2,ctype2,hnuage2,nnuage3,ctype3,hnuage3,nnuage4,ctype4,hnuage4,is_holiday,paris_covid,paris_vac,pm25,pm10,retail_change,grocery_change,parks_change,stations_change,workplace_change,residential_change,stringency_index,flow_traffic,traffic_occupation,vehicle_number
2020-09-01 01:00:00,7149,102050,-10,8,340,1.6,285.75,282.55,81,30000,1,0.0,0.0,0.0,0.0,0.0,30.0,20.0,10.0,100960,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,3.1,-10,0.0,0.0,0.0,-60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,705,0.0,51.0,32.0,-35.0,-12.0,-17.0,-27.0,-46.0,8.0,46.76,365.7332878581173,2.2667700409276983,26.63636363636364
2020-09-01 02:00:00,7149,102050,-10,8,340,1.6,285.75,282.55,81,30000,1,0.0,0.0,0.0,0.0,0.0,30.0,20.0,10.0,100960,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,3.1,-10,0.0,0.0,0.0,-60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,705,0.0,51.0,32.0,-35.0,-12.0,-17.0,-27.0,-46.0,8.0,46.76,236.49665071770332,1.427286042378675,13.214285714285715
2020-09-01 03:00:00,7149,101990,-60,6,290,1.1,283.95,282.05,88,25000,2,0.0,0.0,0.0,0.0,0.0,30.0,20.0,10.0,100900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,-10,0.0,0.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,705,0.0,51.0,32.0,-35.0,-12.0,-17.0,-27.0,-46.0,8.0,46.76,198.96876790830945,1.1276812129894918,10.545454545454543
2020-09-01 04:00:00,7149,101990,-60,6,290,1.1,283.95,282.05,88,25000,2,0.0,0.0,0.0,0.0,0.0,30.0,20.0,10.0,100900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,-10,0.0,0.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,705,0.0,51.0,32.0,-35.0,-12.0,-17.0,-27.0,-46.0,8.0,46.76,159.88201506591338,0.7707578907721286,8.666666666666666
2020-09-01 05:00:00,7149,101990,-60,6,290,1.1,283.95,282.05,88,25000,2,0.0,0.0,0.0,0.0,0.0,30.0,20.0,10.0,100900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,-10,0.0,0.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,705,0.0,51.0,32.0,-35.0,-12.0,-17.0,-27.0,-46.0,8.0,46.76,155.65880740233038,0.8413445305003423,17.5
2020-09-01 06:00:00,7149,102000,10,3,360,1.8,284.25,282.85,91,25000,3,0.0,0.0,10.0,1.0,4000.0,30.0,23.0,11.0,100910,0.0,0.0,-60.0,283.15,0.0,292.35,0.0,0.0,0.0,0.0,5.0,5.9,-10,0.0,0.0,0.0,-60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4000.0,1.0,0.0,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,705,0.0,51.0,32.0,-35.0,-12.0,-17.0,-27.0,-46.0,8.0,46.76,279.22496570644716,1.4922377366255144,27.2
2020-09-01 07:00:00,7149,102000,10,3,360,1.8,284.25,282.85,91,25000,3,0.0,0.0,10.0,1.0,4000.0,30.0,23.0,11.0,100910,0.0,0.0,-60.0,283.15,0.0,292.35,0.0,0.0,0.0,0.0,5.0,5.9,-10,0.0,0.0,0.0,-60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4000.0,1.0,0.0,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,705,0.0,51.0,32.0,-35.0,-12.0,-17.0,-27.0,-46.0,8.0,46.76,631.3288088642659,3.597168732686982,62.25
2020-09-01 08:00:00,7149,102000,10,3,360,1.8,284.25,282.85,91,25000,3,0.0,0.0,10.0,1.0,4000.0,30.0,23.0,11.0,100910,0.0,0.0,-60.0,283.15,0.0,292.35,0.0,0.0,0.0,0.0,5.0,5.9,-10,0.0,0.0,0.0,-60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4000.0,1.0,0.0,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,705,0.0,51.0,32.0,-35.0,-12.0,-17.0,-27.0,-46.0,8.0,46.76,929.3144619602467,6.695173872515434,136.7
2020-09-01 09:00:00,7149,101970,0,5,360,2.9,291.25,283.35,60,19830,1,0.0,0.0,25.0,1.0,800.0,31.0,23.0,10.0,100910,0.0,0.0,-130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.6,-10,0.0,0.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,950.0,1.0,3.0,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,705,0.0,51.0,32.0,-35.0,-12.0,-17.0,-27.0,-46.0,8.0,46.76,1067.5424430641822,10.412516252587967,130.17391304347825
2020-09-01 10:00:00,7149,101970,0,5,360,2.9,291.25,283.35,60,19830,1,0.0,0.0,25.0,1.0,800.0,31.0,23.0,10.0,100910,0.0,0.0,-130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.6,-10,0.0,0.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,950.0,1.0,3.0,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,705,0.0,51.0,32.0,-35.0,-12.0,-17.0,-27.0,-46.0,8.0,46.76,1080.687447988904,11.076374140083212,100.05882352941177
